ACS Year,Ward,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID
2023,1,721,943,760,1721,6677,3987,1868,10455,7613,2936,1772,4231,1827,10197,6693,2621,1974,56174,38343,3570,173,3213,63,3056,7757,32404,14475,2023_1
2023,10,2330,2925,2347,2963,2172,6891,2826,3406,4767,5332,3223,7525,2715,3586,5216,4842,4375,54702,20258,14103,843,287,19,13142,6050,6770,33553,2023_10
2023,11,1887,2392,1593,2587,4214,5067,2605,5534,5975,4779,3953,4354,2683,5242,5546,4839,4560,55137,22255,3585,415,19833,68,4958,4023,18317,12073,2023_11
2023,12,2097,3205,1962,2404,1923,6593,3909,6893,6710,5085,2876,6065,2601,3897,5172,4402,3025,57228,18570,6679,1004,6235,47,16754,7939,5302,38852,2023_12
2023,13,1018,2112,2248,3056,3652,7514,2434,3231,6509,4088,2966,6021,2335,3549,5381,4569,3804,52402,25625,1044,1322,539,37,13301,10534,12065,38620,2023_13
2023,14,1459,2911,2138,2785,2543,6551,2629,4752,4826,5029,3258,7011,2791,3702,5388,3899,3609,53443,22410,701,738,1844,25,17446,10279,5935,44965,2023_14
2023,15,1681,2139,1514,1365,941,4565,2022,2629,3136,3395,2180,4832,2029,2755,3022,2633,2291,35489,10596,6139,559,948,86,11268,5892,1496,26827,2023_15
2023,16,2455,2498,1766,1620,1164,5860,2376,2830,4088,3575,3273,5213,2755,3596,3535,3913,3822,44836,7471,22024,529,227,62,10737,3785,584,21670,2023_16
2023,17,2244,2504,1577,1932,1467,5941,2122,3134,3972,2871,2792,5326,2267,3209,3895,4289,4141,43957,4007,32436,226,218,0,4286,2784,600,9948,2023_17
2023,18,1467,1878,2632,3971,3474,6986,2979,4134,5580,5572,3450,6580,3022,3768,6245,5480,4644,58441,13458,26991,933,480,0,10117,6463,4553,25308,2023_18
2023,19,694,880,882,2719,7207,5873,2237,2400,4828,5542,3750,5948,1520,2498,4963,5621,5129,50309,34125,11454,36,558,21,922,3194,32492,3930,2023_19
2023,2,482,627,613,1250,7494,2980,2569,9853,5302,3722,3736,2722,3562,10417,4811,4126,4674,58472,44545,3848,185,5023,14,1233,3624,42193,5050,2023_2
2023,20,2980,2986,1637,1797,1049,6453,3394,3163,4075,4228,2634,6272,3304,4093,5382,4487,3093,50578,5456,35784,313,1114,3,5031,2877,2937,9601,2023_20
2023,21,2260,2557,2327,2798,2420,5413,2169,3240,3660,4219,3404,5603,2665,3263,5130,5729,6017,50510,1014,47497,180,365,0,600,855,763,1205,2023_21
2023,22,1882,3328,1850,2023,1306,5652,2353,3602,4375,3412,4199,5138,2668,2980,3719,3888,3743,45729,15193,2519,876,637,72,15736,10696,2033,40665,2023_22
2023,23,863,2676,2097,3391,3855,6202,2918,3967,5847,5295,3472,6877,2570,4095,5201,4756,4334,55533,28441,845,970,861,171,13776,10469,13890,39637,2023_23
2023,24,2383,2257,1411,1702,906,5298,2535,3751,3549,3033,1912,4676,2165,3533,4672,4348,2928,42400,4354,31773,144,170,3,4085,1872,2392,7799,2023_24
2023,25,1370,2109,1468,2323,3970,4755,3189,7198,5978,4157,2425,4081,3567,6750,5747,4157,3614,55618,22774,4459,622,9196,40,11479,7049,16274,24207,2023_25
2023,26,1441,1868,1406,2067,2585,5102,2104,5728,5094,3683,1833,4967,2160,6122,4778,3574,2400,47546,23317,5624,441,1623,3,8917,7620,14459,25582,2023_26
2023,27,1891,2116,1305,1821,6352,6102,2240,10147,7854,4449,2397,5518,3206,10317,7778,4635,3276,67920,30916,23638,356,5044,41,3351,4573,28207,9082,2023_27
2023,28,3777,2697,2019,1865,1923,7455,3690,5021,5477,4686,2412,6731,3374,5807,6051,4670,4143,59517,7904,41282,309,3093,30,3977,2923,6233,7629,2023_28
2023,29,2299,2799,2399,2824,2979,6879,2469,4192,5581,4926,3865,6713,2659,3599,5859,6271,5873,58887,12551,33924,397,784,9,6019,5201,8644,14793,2023_29
2023,3,1820,1545,994,1772,4431,4877,2612,5469,5230,4521,3044,4634,2487,6633,5850,5094,4994,55444,14396,33243,229,4000,24,915,2638,13621,2756,2023_3
2023,30,1204,2192,1926,2739,2880,5020,2499,4558,5933,4807,2360,5962,2206,3796,4954,5117,3268,50480,22752,1350,561,1824,37,14623,9332,14250,32070,2023_30
2023,31,1113,2050,1600,3103,2838,5485,2754,4500,5522,4223,2222,5441,2573,3829,4722,4654,3554,49480,20535,2003,555,1605,11,15345,9426,9777,35664,2023_31
2023,32,561,485,646,1530,9342,5551,1700,8619,7872,3269,1941,5955,1901,8780,7123,3230,1979,57919,43711,2382,122,3860,64,2015,5764,40353,8455,2023_32
2023,33,845,1721,1885,2837,4714,5111,3083,6081,6927,4669,2011,5371,2469,5871,6436,3827,3191,55047,29096,1994,433,5391,137,9668,8329,22147,23873,2023_33
2023,34,2000,2082,1570,2374,2287,5393,2053,2935,3717,4075,2822,5456,1808,2680,4675,4578,5878,46071,1778,42317,101,40,2,369,1465,1523,1416,2023_34
2023,35,1291,2301,1543,2326,3576,4940,2720,5610,5612,4415,1841,5821,2568,5559,5908,3451,2680,51126,24488,2656,656,3697,3,10125,9501,15666,28150,2023_35
2023,36,1005,2578,2042,3286,2849,6442,2368,3177,5671,4509,2595,6267,2310,3377,5346,4681,3795,50539,22683,2374,856,1838,3,14733,8051,11507,34458,2023_36
2023,37,2662,3080,2025,2257,1869,6848,2769,3210,5686,4218,3153,7382,2861,3912,6000,4773,3888,54701,7202,33657,504,419,0,8594,4326,1917,18512,2023_37
2023,38,887,1598,2184,3886,6045,5269,2387,3281,6015,6454,4129,5725,2097,3391,5769,6041,5668,56225,38457,1396,397,3797,8,6430,5741,32352,17673,2023_38
2023,39,1179,1982,1775,3364,6535,6505,1861,4419,6382,5607,4228,7018,2050,4633,6363,5771,5355,60193,36872,1487,356,11850,0,4251,5377,31657,13047,2023_39
2023,4,1728,1288,950,1639,4573,4259,2387,5704,4625,4022,2807,4461,2614,6484,5358,4779,4437,51937,14306,28149,197,5356,4,1029,2897,13094,3258,2023_4
2023,40,1244,2284,1919,3442,5074,5714,2388,5502,8026,5840,2899,6451,2322,5893,7414,5514,4140,62103,34217,5455,380,9819,15,4612,7604,29562,14203,2023_40
2023,41,980,1574,2152,3599,7876,7005,1869,4491,6325,6339,4473,6493,1764,3935,6390,5913,6566,61563,46857,1595,137,4838,0,2905,5231,42901,10526,2023_41
2023,42,311,629,374,1490,10471,2043,3684,14142,7595,5227,3057,2085,5434,13644,6768,4616,4275,72572,46470,3340,383,15648,0,1801,4930,43760,7082,2023_42
2023,43,268,301,334,1119,7122,3570,3824,7878,4087,3877,3090,3256,5241,8078,3675,4044,3326,53945,45043,1687,18,3666,6,1027,2498,43437,3291,2023_43
2023,44,364,278,441,931,6533,3128,3793,10919,5584,3118,2077,2934,4184,9758,4567,2534,2424,55020,44326,2177,47,3648,56,1315,3452,42061,5069,2023_44
