Student_Attendance_Avg_Pct,Chronic_Truancy_Pct,Mobility_Rate_Pct,Suspensions_Per_100_Students_Avg_Pct,Involved Families_NEUTRAL,Involved Families_NOT ENOUGH DATA,Involved Families_STRONG,Involved Families_VERY STRONG,Involved Families_VERY WEAK,Involved Families_WEAK,Supportive Environment_NEUTRAL,Supportive Environment_NOT ENOUGH DATA,Supportive Environment_STRONG,Supportive Environment_VERY STRONG,Supportive Environment_VERY WEAK,Supportive Environment_WEAK,Ambition_NEUTRAL,Ambition_NOT ENOUGH DATA,Ambition_STRONG,Ambition_VERY STRONG,Ambition_VERY WEAK,Ambition_WEAK,Effective Leaders_NEUTRAL,Effective Leaders_NOT ENOUGH DATA,Effective Leaders_STRONG,Effective Leaders_VERY STRONG,Effective Leaders_VERY WEAK,Effective Leaders_WEAK,Collaborative Teachers_NEUTRAL,Collaborative Teachers_NOT ENOUGH DATA,Collaborative Teachers_STRONG,Collaborative Teachers_VERY STRONG,Collaborative Teachers_VERY WEAK,Collaborative Teachers_WEAK,Safety_NEUTRAL,Safety_NOT ENOUGH DATA,Safety_STRONG,Safety_VERY STRONG,Safety_VERY WEAK,Safety_WEAK,ward
86.9,46.7,8.0,5.4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25
86.9,66.6,17.1,5.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,33
86.9,43.5,11.1,5.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,36
86.9,44.6,12.2,5.4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,15
86.9,54.5,13.4,5.4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,34
86.9,14.0,4.2,5.4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19
86.9,11.4,1.9,5.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11
86.9,23.3,5.5,5.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,26
86.9,36.8,14.5,5.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,18
86.9,26.0,5.0,5.4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,14
86.9,71.4,,5.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
86.9,53.9,20.1,5.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6
86.9,22.4,7.1,5.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,33
86.9,80.3,20.6,5.4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,22
86.9,29.4,12.2,5.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,49
86.9,29.6,14.2,5.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,49
86.9,40.6,26.4,5.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24
86.9,8.2,2.0,5.4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19
86.9,7.1,6.0,5.4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25
86.9,61.6,21.2,5.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6
86.9,55.8,21.8,5.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6
86.9,13.0,,5.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
86.9,86.8,36.1,5.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,28
86.9,47.7,22.6,5.4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,24
86.9,54.8,12.5,5.4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20
86.9,22.6,7.4,5.4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,47
86.9,70.7,27.9,5.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,15
86.9,32.6,5.9,5.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,33
86.9,32.3,12.1,5.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,21
86.9,26.7,9.8,5.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,29
86.9,36.6,8.3,5.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
86.9,32.5,7.5,5.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
