ward,index_right,residents in ks,crash per 1k res
1,228,56.174,4.058817246412931
2,224,58.472,3.8308934190723765
3,335,55.444,6.042132602265348
4,331,51.937,6.373105878275603
5,318,47.372,6.7128261420248245
6,507,44.4,11.41891891891892
7,210,40.616,5.170376206421115
8,385,48.995,7.857944688233494
9,444,46.727,9.502000984441544
10,290,54.702,5.301451500859201
11,203,55.137,3.6817382157172136
12,233,57.228,4.071433563989656
13,118,52.402,2.2518224495248274
14,187,53.443,3.4990550680163914
15,153,35.489,4.311195018174646
16,337,44.836,7.516281559461148
17,333,43.957,7.5755852310212255
18,293,58.441,5.013603463321982
19,184,50.309,3.6573972847800595
20,376,50.578,7.434062240499822
21,367,50.51,7.265887942981588
22,222,45.729,4.854687397493931
23,234,55.533,4.213710766571228
24,350,42.4,8.254716981132075
25,435,55.618,7.8212089611276925
26,188,47.546,3.954065536533042
27,627,67.92,9.231448763250883
28,463,59.517,7.779289950770368
29,310,58.887,5.264319798936947
30,138,50.48,2.733755942947702
31,203,49.48,4.1026677445432504
32,230,57.919,3.971063036309329
33,152,55.047,2.7612767271604266
34,312,46.071,6.772156020056001
35,152,51.126,2.973046981966123
36,177,50.539,3.502245790379707
37,260,54.701,4.753112374545255
38,150,56.225,2.667852378835038
39,228,60.193,3.7878158589869257
40,270,62.103,4.347616057195305
41,202,61.563,3.281191624839595
42,700,72.572,9.64559334178471
43,220,53.945,4.078227824636204
44,137,55.02,2.490003635041803
45,236,56.873,4.1495964693263945
46,183,46.849,3.9061666204187926
47,244,60.434,4.037462355627627
48,370,45.103,8.203445447087777
49,172,52.797,3.2577608576244863
50,201,60.444,3.3253920984713123
