ward,index_right,residents in ks,crash per 1k res,unlit_to_lit_ratio
1,2293,56.174,40.81959625449496,0.1661578717836895
2,3241,58.472,55.42823915720345,0.15365627892625733
3,3319,55.444,59.8622033042349,0.19734859897559506
4,3234,51.937,62.26774746327281,0.20346320346320346
5,2882,47.372,60.83762560162121,0.25711311589174185
6,4263,44.4,96.01351351351352,0.2289467511142388
7,1788,40.616,44.02206027181406,0.273489932885906
8,3153,48.995,64.35350545974079,0.2816365366317793
9,2335,46.727,49.97110878079055,0.3053533190578159
10,1739,54.702,31.790428137910865,0.2903967797584819
11,2284,55.137,41.424089087182836,0.17994746059544658
12,2409,57.228,42.094778779618366,0.1814030718140307
13,2077,52.402,39.63589175985649,0.19836302359171884
14,2739,53.443,51.25086540800479,0.2062796641109894
15,1689,35.489,47.592211671222074,0.20367081113084665
16,2754,44.836,61.423855830136496,0.23202614379084968
17,3026,43.957,68.84000272994062,0.22240581625908792
18,2398,58.441,41.03283653599357,0.2335279399499583
19,1798,50.309,35.73913216323123,0.1807563959955506
20,2670,50.578,52.78975048440033,0.2644194756554307
21,3364,50.51,66.60067313403287,0.19322235434007132
22,1931,45.729,42.227033173697215,0.21750388399792853
23,2607,55.533,46.94505969423586,0.20368239355581128
24,3155,42.4,74.41037735849056,0.2231378763866878
25,3012,55.618,54.15512963429106,0.20285524568393093
26,1931,47.546,40.613300803432466,0.170378042465044
27,5621,67.92,82.75912838633687,0.20387831346735455
28,5226,59.517,87.8068451030798,0.2189054726368159
29,3433,58.887,58.298096354033994,0.23157588115351005
30,2105,50.48,41.699683042789225,0.1776722090261283
31,2208,49.48,44.62409054163299,0.14764492753623187
32,2225,57.919,38.4157185034272,0.15280898876404495
33,1673,55.047,30.392210293022327,0.17453676031081888
34,2798,46.071,60.7323478978099,0.2069335239456755
35,1827,51.126,35.73524234244807,0.18007662835249044
36,2175,50.539,43.03607115297097,0.18574712643678162
37,3102,54.701,56.708286868613,0.21953578336557059
38,2112,56.225,37.563361493997334,0.19128787878787878
39,1995,60.193,33.1433887661356,0.19047619047619047
40,1917,62.103,30.868074006086662,0.15701617110067814
41,1833,61.563,29.77437746698504,0.2133115111838516
42,9274,72.572,127.79033235958771,0.1579685141255122
43,1911,53.945,35.424969876726294,0.16588173731030875
44,1824,55.02,33.151581243184296,0.15570175438596492
45,2393,56.873,42.07620487753416,0.21186794818219806
46,1400,46.849,29.88324190484322,0.15714285714285714
47,1604,60.434,26.54135089519145,0.18453865336658354
48,1492,45.103,33.07983947852693,0.16353887399463807
49,1423,52.797,26.952288955811884,0.2122276879831342
50,1889,60.444,31.25206802991198,0.18845950238221282
